team1,team2,goals_1,penalties_1,direct_free_hits_1,warnings_1,blue_cards_1,fouls_1,goals_2,penalties_2,direct_free_hits_2,warnings_2,blue_cards_2,fouls_2,date,ref1,ref2,ref3,gr1_1_played,gr1_1_name,gr1_1_saves,pl1_1_played,pl1_1_name,pl1_1_goals,pl1_1_pens,pl1_1_dfh,pl2_1_played,pl2_1_name,pl2_1_goals,pl2_1_pens,pl2_1_dfh,pl3_1_played,pl3_1_name,pl3_1_goals,pl3_1_pens,pl3_1_dfh,pl4_1_played,pl4_1_name,pl4_1_goals,pl4_1_pens,pl4_1_dfh,pl5_1_played,pl5_1_name,pl5_1_goals,pl5_1_pens,pl5_1_dfh,pl6_1_played,pl6_1_name,pl6_1_goals,pl6_1_pens,pl6_1_dfh,pl7_1_played,pl7_1_name,pl7_1_goals,pl7_1_pens,pl7_1_dfh,pl8_1_played,pl8_1_name,pl8_1_goals,pl8_1_pens,pl8_1_dfh,gr2_1_played,gr2_1_name,gr2_1_saves,gr1_2_played,gr1_2_name,gr1_2_saves,pl1_2_played,pl1_2_name,pl1_2_goals,pl1_2_pens,pl1_2_dfh,pl2_2_played,pl2_2_name,pl2_2_goals,pl2_2_pens,pl2_2_dfh,pl3_2_played,pl3_2_name,pl3_2_goals,pl3_2_pens,pl3_2_dfh,pl4_2_played,pl4_2_name,pl4_2_goals,pl4_2_pens,pl4_2_dfh,pl5_2_played,pl5_2_name,pl5_2_goals,pl5_2_pens,pl5_2_dfh,pl6_2_played,pl6_2_name,pl6_2_goals,pl6_2_pens,pl6_2_dfh,pl7_2_played,pl7_2_name,pl7_2_goals,pl7_2_pens,pl7_2_dfh,pl8_2_played,pl8_2_name,pl8_2_goals,pl8_2_pens,pl8_2_dfh,gr2_2_played,gr2_2_name,gr2_2_saves
OC BARCELOS SAD 2021,SC TOMAR/IPT 2021,7,2/2,1/1,3,0,13,3,1/1,0/1,1,1,7,2020-11-15 00:00:00,MANUEL OLIVEIRA,ANDRE PORTAL,MARCO GOMES,X,CONSTANTINO ACEVEDO,1,J,JOSÉ PEDRO PEREIRA,0,0/0,0/0,J,TOMÁS PEREIRA,0,0/0,0/0,X,DARIO GIMENEZ,1,0/0,1/1,J,JOÃO GUIMARÃES,0,0/0,0/0,X,LUÍS QUERIDO,1,1/1,0/0,X,MIGUEL ROCHA,3,1/1,0/0,J,RAFAEL LOURENÇO,1,0/0,0/0,X,REINALDO VENTURA,1,0/0,0/0,,BRUNO FERREIRA,0,X,FRANCISCO VELUDO,0,J,LUCAS SANTOS,1,0/0,0/0,X,IVO SILVA,0,0/0,0/0,X,FILIPE ALMEIDA,1,1/1,0/0,,PAULO PASSOS,0,0/0,0/0,J,RÚBEN SOUSA,0,0/0,0/1,X,PEDRO MARTINS,1,0/0,0/0,J,ANDERSON SILVA,0,0/0,0/0,X,ALEXANDRE MARQUES,0,0/0,0/0,,ANTÓNIO MARANTE,0
HC BRAGA SAD 2021,AD SANJOANENSE 2021,3,1/1,0/1,6,0,15,2,0/0,0/1,2,0,15,2020-11-15 00:00:00,JOSE PINTO,PEDRO MIGUEL SOUSA,CARLOS LEITE,,GABRIEL COSTA,0,,ANTONIO TRABULO,1,0/0,0/0,,MIGUEL MOURA,0,0/0,0/1,,ÂNGELO FERNANDES,1,1/1,0/0,,CARLOS LOUREIRO ,0,0/0,0/0,X,DIOGO SEIXAS,0,0/0,0/0,X,AFONSO LIMA,0,0/0,0/0,X,PEDRO DELGADO,0,0/0,0/0,X,GONÇALO MEIRA,1,0/0,0/0,X,LEONARDO PAIS,0,,MARCO LOPES ©,0,X,ALEXANDER MOUNT,0,0/0,0/0,,JOÃO CRUZ,0,0/0,0/0,,PEDRO REGO,0,0/0,0/0,X,PEDRO CERQUEIRA,0,0/0,0/0,,FACUNDO NAVARRO,0,0/0,0/0,X,XAVIER CARDOSO,1,0/0,0/0,X,HUGO SANTOS,1,0/0,0/1,X,TIAGO FREITAS,0,0/0,0/0,,ANTÓNIO FELÍCIO,--
FC PORTO/FIDELIDADE 2021,HC BRAGA SAD 2021,8,1/1,2/4,1,1,15,3,1/1,1/3,5,2,15,2020-11-19 00:00:00,ANTONIO SANTOS,MANUEL FERNANDES,CARLOS LEITE,X,XAVIER CROSSAS,2,J,JOSÉ GONÇALVES,0,0/0,0/0,J,GIULIO COCCO,1,0/0,0/0,J,TOMAS MENA,1,0/0,0/0,X,JOSE RAFAEL COSTA,1,0/0,0/0,J,DANIEL OLIVEIRA,1,0/0,0/0,X,XAVIER MAYORDOMO,1,0/0,0/0,X,REINALDO GARCIA,0,0/0,0/0,X,GONÇALO ALVES,3,1/1,2/4,,TIAGO RODRIGUES,0,J,GABRIEL COSTA,0,X,ANTONIO TRABULO,1,0/0,1/1,J,MIGUEL MOURA,1,0/0,0/1,X,ÂNGELO FERNANDES,1,1/1,0/1,J,CARLOS LOUREIRO,0,0/0,0/0,X,DIOGO SEIXAS,0,0/0,0/0,J,FABRIZIO CIOCALE,0,0/0,0/0,J,AFONSO LIMA,0,0/0,0/0,X,GONÇALO MEIRA,0,0/0,0/0,X,LEONARDO PAIS,1
RIBA D AVE HC 2021,AJ VIANA 2021,1,0/0,0/1,0,1,14,3,1/1,0/2,1,1,8,2020-11-21 00:00:00,SILVIA COELHO,PORFIRIO FERNANDES,JORGE MACHADO,,JOÃO FERREIRA,0,J,GUSTAVO PATO,0,0/0,0/0,X,FACUNDO BRIDGE,0,0/0,0/0,X,JOÃO PEDRO,0,0/0,0/0,J,NUNO PEREIRA,0,0/0,0/0,X,ANDRES ZAPATA,0,0/0,0/1,X,DANIEL PINHEIRO,0,0/0,0/0,J,DINIS ABREU,1,0/0,0/0,J,MIGUEL FORTUNATO,0,0/0,0/0,X,DIOGO FERNANDES,2,X,JORGE CORREIA,1,X,REMI HERMAN,1,1/1,0/1,X,FRANCISCO SILVA,1,0/0,0/0,X,GUSTAVO LIMA,1,0/0,0/0,X,NELSON PEREIRA,0,0/0,0/1,J,GONÇALO NETO,0,0/0,0/0,J,JOÃO PEREIRA,0,0/0,0/0,J,DIOGO CARDOSO,0,0/0,0/0,J,PEDRO BATISTA,0,0/0,0/0,,BRUNO GUIA,0
UD OLIVEIRENSE/SIMOLDES 2021,HC TURQUEL 2021,7,0/0,1/2,2,0,6,5,1/1,0/0,2,2,6,2020-11-21 00:00:00,ANDRE PORTAL,MANUEL OLIVEIRA,SERGIO PAULO SILVA,X,NELSON FILIPE MAGALHAES,0,J,JOÃO ALMEIDA,0,0/0,0/0,J,PEDRO MOREIRA,1,0/0,0/0,X,MARC SAYO,3,0/0,1/1,X,JORDI BARGALLÓ,0,0/0,0/1,X,JORGE SILVA,3,0/0,0/0,J,LUCAS MARTINEZ,0,0/0,0/0,X,HENRIQUE MAGALHÃES,0,0/0,0/0,,XAVIER PUIGBI,0,0/0,0/0,,RUI VILA,--,X,GONÇALO DUARTE,0,X,TIAGO RAFAEL,0,0/0,0/0,J,ANDRÉ MOREIRA,1,0/0,0/0,X,VASCO LUIS,1,0/0,0/0,X,ANDRÉ PIMENTA,1,0/0,0/0,J,ALFONSO SEVERINO,0,0/0,0/0,J,TIAGO MATEUS,0,0/0,0/0,X,TOMÁS MOREIRA,2,1/1,0/0,J,DANIEL PASSOS,0,0/0,0/0,,DIOGO ALMEIDA,1
SC TOMAR/IPT 2021,FC PORTO/FIDELIDADE 2021,4,0/0,0/1,3,0,10,4,1/1,1/1,1,0,10,2020-11-22 00:00:00,PEDRO FIGUEIREDO,RUI TORRES,ANTONIO MACHADO,X,FRANCISCO VELUDO,0,,LUCAS SANTOS,0,0/0,0/0,X,IVO SILVA,0,0/0,0/0,X,FILIPE ALMEIDA,1,0/0,0/0,,PAULO PASSOS,0,0/0,0/0,J,RÚBEN SOUSA,1,0/0,0/1,X,PEDRO MARTINS,0,0/0,0/0,J,ANDERSON SILVA,0,0/0,0/0,X,ALEXANDRE MARQUES,2,0/0,0/0,,ANTÓNIO MARANTE,0,X,XAVIER CROSSAS,0,,JOSÉ GONÇALVES,0,0/0,0/0,J,GIULIO COCCO,1,0/0,0/0,J,TOMAS MENA,0,0/0,0/0,X,JOSE RAFAEL COSTA,1,0/0,0/0,,CARLO DI BENEDETTO,0,0/0,0/0,X,XAVIER MAYORDOMO,0,0/0,0/0,X,REINALDO GARCIA,0,0/0,0/0,X,GONÇALO ALVES,2,1/1,1/1,,TIAGO RODRIGUES,0
HC OS TIGRES 2021,HC BRAGA SAD 2021,4,0/1,2/3,3,0,16,5,1/1,1/2,1,1,19,2020-11-22 00:00:00,VITOR ROXO,PAULO CARVALHO,RICARDO J. RODRIGUES,X,PEDRO SANTOS,0,X,ANDRÉ MARTINS,1,0/0,0/0,X,FILIPE BERNARDINO,1,0/0,0/0,X,DIOGO ALVES,0,0/0,0/0,J,JOÃO MALÓ,0,0/0,0/0,J,HERNÂNI DOMINGOS,2,0/0,2/3,J,FREDERICO NEVES,0,0/0,0/0,J,DIOGO DAVID,0,0/0,0/0,X,PAOLO DIAS,0,0/1,0/0,J,IGOR ALVES,0,,GABRIEL COSTA,0,X,ANTONIO TRABULO,1,0/0,1/2,J,MIGUEL MOURA,0,0/0,0/0,J,ÂNGELO FERNANDES,2,1/1,0/0,J,CARLOS LOUREIRO,0,0/0,0/0,X,DIOGO SEIXAS,1,0/0,0/0,X,FABRICIO CIOCALE,1,0/0,0/0,,FRANCISCO LEITÃO,0,0/0,0/0,X,GONÇALO MEIRA,0,0/0,0/0,X,LEONARDO PAIS,0
AJ VIANA 2021,OC BARCELOS SAD 2021,0,0/2,0/0,0,0,9,3,0/1,0/0,2,0,14,2020-11-25 00:00:00,PEDRO SILVA,PEDRO FIGUEIREDO,FERNANDO VASCONCELOS,,JORGE CORREIA,0,J,REMI HERMAN,0,0/1,0/0,X,FRANCISCO SILVA,0,0/0,0/0,J,GUSTAVO LIMA,0,0/0,0/0,X,NELSON PEREIRA,0,0/0,0/0,J,GONÇALO NETO,0,0/0,0/0,J,JOÃO PEREIRA,0,0/1,0/0,X,DIOGO CARDOSO,0,0/0,0/0,X,PEDRO BATISTA,0,0/0,0/0,X,BRUNO GUIA,0,X,CONSTANTINO ACEVEDO,0,J,JOSÉ PEDRO PEREIRA,0,0/0,0/0,J,TOMÁS PEREIRA,0,0/0,0/0,X,DARIO GIMENEZ,0,0/0,0/0,J,JOÃO GUIMARÃES,0,0/0,0/0,X,LUÍS QUERIDO,0,0/0,0/0,X,MIGUEL ROCHA,3,0/1,0/0,J,RAFAEL LOURENÇO,0,0/0,0/0,X,REINALDO VENTURA,0,0/0,0/0,,BRUNO FERREIRA,0
SPORTING CP 2021,HC BRAGA SAD 2021,4,0/1,1/2,0,1,9,3,0/0,1/1,3,0,18,2020-11-25 00:00:00,LUIS PEIXOTO,PAULO GONÇALVES,JOSE MARTINS,X,ÂNGELO GIRÃO,0,J,TELMO PINTO,0,0/0,0/0,X,PEDRO GIL,1,0/0,0/0,J,ALESSANDRO VERONA,0,0/1,0/0,X,MATIAS PLATERO,0,0/0,0/0,J,JOÃO SOUTO,0,0/0,0/0,X,TONI PEREZ,0,0/0,0/0,J,ALVARO MORAIS,1,0/0,0/0,X,GONZALO ROMERO,2,0/0,1/2,,JOSÉ DIOGO MACEDO,0,,GABRIEL COSTA,0,X,ANTONIO TRABULO,0,0/0,0/0,J,MIGUEL MOURA,1,0/0,0/0,J,ÂNGELO FERNANDES,2,0/0,1/1,J,CARLOS LOUREIRO,0,0/0,0/0,X,DIOGO SEIXAS,0,0/0,0/0,X,FABRICIO CIOCALE,0,0/0,0/0,J,AFONSO LIMA,0,0/0,0/0,X,GONÇALO MEIRA,0,0/0,0/0,X,LEONARDO PAIS,1
SPORTING CP 2021,RIBA D AVE HC 2021,4,1/3,0/3,0,2,8,2,0/1,0/3,2,3,10,2020-11-28 00:00:00,PAULO CARVALHO,MIGUEL GUILHERME,NUNO SOUSA,X,ÂNGELO GIRÃO,2,X,TELMO PINTO,0,0/0,0/1,J,FERRAN FONT,0,0/0,0/0,X,PEDRO GIL,0,0/0,0/0,X,ALESSANDRO VERONA,2,1/2,0/1,J,MATIAS PLATERO,1,0/0,0/0,J,GONÇALO NUNES,1,0/1,0/1,J,JOÃO SOUTO,0,0/0,0/0,X,ALVARO MORAIS,0,0/0,0/0,,JOSÉ DIOGO MACEDO,0,X,DIOGO FERNANDES,2,X,GUSTAVO PATO,0,0/0,0/0,X,FACUNDO BRIDGE,0,0/0,0/0,J,JOÃO PEDRO,1,0/0,0/0,X,NUNO PEREIRA,0,0/1,0/0,X,ANDRES ZAPATA,0,0/0,0/0,J,DANIEL PINHEIRO,0,0/0,0/1,J,DINIS ABREU,0,0/0,0/2,J,MIGUEL FORTUNATO,1,0/0,0/0,,JOÃO FERREIRA,0
AJ VIANA 2021,SC TOMAR/IPT 2021,3,0/2,2/4,6,2,12,3,0/1,2/3,4,4,12,2020-11-28 00:00:00,PAULO ALMEIDA,JOSE MANUEL PEREIRA,VITOR PINHEIRO,X,REMI HERMAN,0,X,FRANCISCO SILVA,0,0/1,0/0,X,GUSTAVO LIMA,0,0/1,0/1,X,JORGE CORREIA,0,0/0,0/0,X,NELSON PEREIRA,0,0/0,0/0,,GONÇALO NETO,0,0/0,0/0,J,BRUNO GUIA,0,0/0,0/0,J,JOÃO PEREIRA,0,0/0,0/0,J,DIOGO CARDOSO,2,0/0,2/3,,PEDRO BATISTA,0,X,JOÃO LOMBA,0,,IVO SILVA,1,0/0,0/0,X,FILIPE ALMEIDA,0,0/1,0/0,X,PAULO PASSOS,0,0/0,0/0,J,FRANCISCO VELUDO,0,0/0,0/0,J,RÚBEN SOUSA,2,0/0,2/3,X,ANTÓNIO MARANTE,0,0/0,0/0,X,PEDRO MARTINS,0,0/0,0/0,J,ANDERSON SILVA,0,0/0,0/0,,ALEXANDRE MARQUES,0
OC BARCELOS SAD 2021,HC OS TIGRES 2021,6,0/1,1/2,1,0,13,2,0/0,0/1,1,1,10,2020-11-28 00:00:00,FLORINDO CARDOSO,RUI TORRES,MIGUEL AZEVEDO,X,CONSTANTINO ACEVEDO,0,J,JOSÉ PEDRO PEREIRA,0,0/0,0/0,J,TOMÁS PEREIRA,0,0/0,0/0,X,DARIO GIMENEZ,2,0/0,1/2,J,JOÃO GUIMARÃES,1,0/0,0/0,X,LUÍS QUERIDO,1,0/1,0/0,X,MIGUEL ROCHA,1,0/0,0/0,J,RAFAEL LOURENÇO,1,0/0,0/0,X,REINALDO VENTURA,0,0/0,0/0,,BRUNO FERREIRA,0,,PEDRO SANTOS,0,X,ANDRÉ MARTINS,0,0/0,0/0,X,FILIPE BERNARDINO,0,0/0,0/1,X,DIOGO ALVES,2,0/0,0/0,J,MIGUEL FEIO,0,0/0,0/0,J,HERNÂNI DOMINGOS,0,0/0,0/0,J,FREDERICO NEVES,0,0/0,0/0,X,DIOGO DAVID,0,0/0,0/0,J,PAOLO DIAS,0,0/0,0/0,X,IGOR ALVES,0
HC BRAGA SAD 2021,UD OLIVEIRENSE/SIMOLDES 2021,2,1/2,0/1,6,4,16,4,0/0,1/4,1,1,12,2020-11-28 00:00:00,PEDRO FIGUEIREDO,PORFIRIO FERNANDES,MIGUEL TORRES,J,GABRIEL COSTA,0,X,ANTONIO TRABULO,0,0/0,0/0,J,MIGUEL MOURA,0,0/0,0/0,J,ÂNGELO FERNANDES,2,1/2,0/1,J,CARLOS LOUREIRO,0,0/0,0/0,X,DIOGO SEIXAS,0,0/0,0/0,X,FABRICIO CIOCALE,0,0/0,0/0,J,AFONSO  LIMA,0,0/0,0/0,X,GONÇALO MEIRA,0,0/0,0/0,X,LEONARDO PAIS,1,X,NELSON FILIPE MAGALHAES,2,J,JOÃO ALMEIDA,1,0/0,1/1,X,PEDRO MOREIRA,0,0/0,0/0,X,MARC SAYO,0,0/0,0/2,X,JORDI BARGALLÓ,2,0/0,0/0,X,JORGE SILVA,0,0/0,0/0,J,LUCAS MARTINEZ,0,0/0,0/1,J,VITOR PINTO,1,0/0,0/0,J,HENRIQUE MAGALHÃES,0,0/0,0/0,,XAVIER PUIGBI,0
AD VALONGO 2021,RIBA D AVE HC 2021,4,1/2,0/2,0,0,11,1,0/1,0/1,0,1,11,2020-12-01 00:00:00,RUI TORRES,PORFIRIO FERNANDES,JORGE MACHADO,X,RICARDO SILVA,2,X,NUNO ARAÚJO,1,1/2,0/0,J,DIOGO FERNANDES,1,0/0,0/0,X,GUILHERME SILVA,0,0/0,0/1,J,CARLOS RAMOS,1,0/0,0/0,X,RAFAEL MOREIRA,0,0/0,0/0,X,NUNO SANTOS,0,0/0,0/0,J,RÚBEN PEREIRA,1,0/0,0/0,J,DIOGO BARATA,0,0/0,0/1,,RUI MENDES,0,X,DIOGO FERNANDES,3,J,GUSTAVO PATO,0,0/0,0/0,X,FACUNDO BRIDGE,0,0/0,0/0,X,JOÃO PEDRO,0,0/1,0/0,X,NUNO PEREIRA,1,0/0,0/0,X,ANDRES ZAPATA,0,0/0,0/1,J,DANIEL PINHEIRO,0,0/0,0/0,J,DINIS ABREU,0,0/0,0/0,J,MIGUEL FORTUNATO,0,0/0,0/0,,JOÃO FERREIRA,0
SC TOMAR/IPT 2021,SPORTING CP 2021,1,0/0,0/0,1,0,9,4,0/1,0/0,1,0,7,2020-12-01 00:00:00,VITOR ROXO,RICARDO LEAO,NUNO SOUSA,X,FRANCISCO VELUDO,0,J,LUCAS SANTOS,0,0/0,0/0,X,IVO SILVA,0,0/0,0/0,X,FILIPE ALMEIDA,0,0/0,0/0,J,HERNANI DINIZ,1,0/0,0/0,J,RÚBEN SOUSA,0,0/0,0/0,X,PEDRO MARTINS,0,0/0,0/0,J,ANDERSON SILVA,0,0/0,0/0,X,ALEXANDRE MARQUES,0,0/0,0/0,,ANTÓNIO MARANTE,0,X,ÂNGELO GIRÃO,0,J,TELMO PINTO,0,0/0,0/0,J,FERRAN FONT,0,0/0,0/0,X,ALESSANDRO VERONA,0,0/1,0/0,X,MATIAS PLATERO ,0,0/0,0/0,X,JOÃO SOUTO,1,0/0,0/0,J,TONI PEREZ,0,0/0,0/0,,ALVARO MORAIS,0,0/0,0/0,X,GONZALO ROMERO,3,0/0,0/0,,JOSÉ DIOGO MACEDO,0
HC OS TIGRES 2021,FC PORTO/FIDELIDADE 2021,4,0/0,0/1,0,1,8,8,0/0,1/2,0,0,11,2020-12-01 00:00:00,MIGUEL GUILHERME,TEOFILO CASIMIRO,CARLOS ALMEIDA,J,PEDRO SANTOS,0,X,ANDRÉ MARTINS,0,0/0,0/0,X,FILIPE BERNARDINO,1,0/0,0/0,X,DIOGO ALVES,0,0/0,0/0,X,MIGUEL FEIO,1,0/0,0/0,J,JOÃO MALÓ,1,0/0,0/1,J,FREDERICO NEVES,0,0/0,0/0,J,DIOGO DAVID,1,0/0,0/0,J,PAOLO DIAS,0,0/0,0/0,X,IGOR ALVES,0,X,XAVIER CROSSAS,0,J,GIULIO COCCO,0,0/0,0/0,X,TOMAS MENA,2,0/0,0/0,X,JOSE RAFAEL COSTA,2,0/0,0/0,J,DANIEL OLIVEIRA,0,0/0,0/0,J,CARLO DI BENEDETTO,1,0/0,1/1,J,XAVIER MAYORDOMO,0,0/0,0/0,X,REINALDO GARCIA,2,0/0,0/0,X,GONÇALO ALVES,1,0/0,0/1,,TIAGO RODRIGUES,0
UD OLIVEIRENSE/SIMOLDES 2021,OC BARCELOS SAD 2021,4,1/3,1/3,2,4,8,7,0/0,2/3,2,4,15,2020-12-01 00:00:00,LUIS PEIXOTO,JOAO DUARTE,MARCO GOMES,,NELSON FILIPE MAGALHAES,0,J,JOÃO ALMEIDA,0,0/0,0/0,J,PEDRO MOREIRA,0,0/0,0/0,X,MARC SAYO,3,1/2,1/2,X,JORDI BARGALLÓ,0,0/0,0/0,X,JORGE SILVA,0,0/0,0/0,J,LUCAS MARTINEZ,0,0/1,0/1,J,VITOR PINTO,0,0/0,0/0,X,HENRIQUE MAGALHÃES,1,0/0,0/0,X,XAVIER PUIGBI,0,X,CONSTANTINO ACEVEDO,3,J,JOSÉ PEDRO PEREIRA,0,0/0,0/0,,TOMÁS PEREIRA,0,0/0,0/0,X,DARIO GIMENEZ,2,0/0,2/3,J,JOÃO GUIMARÃES,1,0/0,0/0,X,LUÍS QUERIDO,0,0/0,0/0,X,MIGUEL ROCHA,2,0/0,0/0,J,RAFAEL LOURENÇO,0,0/0,0/0,X,REINALDO VENTURA,2,0/0,0/0,,BRUNO FERREIRA,0
AD SANJOANENSE 2021,SPORTING CP 2021,3,0/0,0/0,1,0,4,3,0/2,0/0,0,0,7,2020-12-05 00:00:00,RUI TORRES,MANUEL FERNANDES,SERGIO PAULO SILVA,,MARCELO SILVA,0,X,JOAO LIMA,2,0/0,0/0,X,TIAGO ALMEIDA,1,0/0,0/0,,JOÃO CRUZ,0,0/0,0/0,J,PEDRO REGO,0,0/0,0/0,X,PEDRO CERQUEIRA,0,0/0,0/0,J,LUÍS  FERREIRA,0,0/0,0/0,X,XAVIER CARDOSO,0,0/0,0/0,J,HUGO SANTOS,0,0/0,0/0,X,MARCO LOPES ©,1,X,ÂNGELO GIRÃO,0,J,FERRAN FONT,1,0/0,0/0,J,TELMO PINTO,0,0/0,0/0,X,MATIAS PLATERO ,0,0/0,0/0,X,GONÇALO NUNES,0,0/1,0/0,X,JOÃO SOUTO,2,0/0,0/0,X,TONI PEREZ,0,0/1,0/0,J,ALVARO MORAIS,0,0/0,0/0,J,GONZALO ROMERO,0,0/0,0/0,,JOSÉ DIOGO MACEDO,0
OC BARCELOS SAD 2021,SL BENFICA 2021,3,0/0,1/5,2,2,10,2,0/0,0/2,5,5,11,2020-12-05 00:00:00,JOAQUIM PINTO,PORFIRIO FERNANDES,PEDRO MIGUEL SOUSA,X,CONSTANTINO ACEVEDO,2,J,JOSÉ PEDRO PEREIRA,1,0/0,0/0,J,TOMÁS PEREIRA,1,0/0,0/0,X,DARIO GIMENEZ,1,0/0,1/4,J,JOÃO GUIMARÃES,0,0/0,0/0,X,LUÍS QUERIDO,0,0/0,0/0,X,MIGUEL ROCHA,0,0/0,0/1,J,RAFAEL LOURENÇO,0,0/0,0/0,X,REINALDO VENTURA,0,0/0,0/0,,BRUNO FERREIRA,0,X,PEDRO HENRIQUES,2,X,VALTER NEVES,0,0/0,0/0,X,DIOGO RAFAEL,0,0/0,0/0,X,CARLOS NICOLIA,0,0/0,0/0,J,EDUARD LAMAS,0,0/0,0/0,X,LUCAS ORDOÑEZ,2,0/0,0/2,J,GONÇALO PINTO,0,0/0,0/0,J,MIGUEL VIEIRA,0,0/0,0/0,J,DANILO RAMPULLLA,0,0/0,0/0,,MARCO BARROS,0
HC BRAGA SAD 2021,FAMALICENSE AC 2021,2,1/1,0/2,1,1,14,4,0/1,1/2,3,3,7,2020-12-05 00:00:00,ANDRE PORTAL,MANUEL OLIVEIRA,JOSE MENDES,,GABRIEL COSTA,0,X,ANTONIO TRABULO,0,0/0,0/1,J,MIGUEL MOURA,1,0/0,0/0,J,ÂNGELO FERNANDES,1,1/1,0/1,,CARLOS LOUREIRO,0,0/0,0/0,X,DIOGO SEIXAS,0,0/0,0/0,X,FABRIZIO CIOCALE,0,0/0,0/0,J,AFONSO LIMA,0,0/0,0/0,X,GONÇALO MEIRA,0,0/0,0/0,X,LEONARDO PAIS,2,,MANUEL SILVA,0,X,JUAN GARCIA,1,0/0,1/2,X,GABRIEL SILVA,0,0/0,0/0,X,HUGO COSTA,2,0/1,0/0,,RUI SILVA,0,0/0,0/0,X,PEDRO MENDES,0,0/0,0/0,,JOÃO ARAÚJO,0,0/0,0/0,,RENATO CASTANHEIRA,1,0/0,0/0,J,PEDRO SILVA,0,0/0,0/0,X,JOAQUIM PEIXOTO,2
HC TURQUEL 2021,AD VALONGO 2021,2,0/1,1/2,0,0,4,2,0/0,0/0,0,2,8,2020-12-05 00:00:00,LUIS PEIXOTO,RICARDO LEAO,LUIS RODRIGUES,,TIAGO RAFAEL,0,X,ANDRÉ MOREIRA,0,0/0,0/0,J,VASCO LUIS,1,0/0,0/0,X,GONÇALO DUARTE,0,0/0,0/0,X,DIOGO ALMEIDA,0,0/0,0/0,,ANDRÉ PIMENTA,0,0/0,0/0,J,ALFONSO SEVERINO,0,0/0,0/0,X,TIAGO MATEUS,0,0/0,0/0,,TOMÁS MOREIRA,1,0/1,1/2,X,DANIEL PASSOS,0,X,RICARDO SILVA,1,X,NUNO ARAÚJO,0,0/0,0/0,J,DIOGO FERNANDES,1,0/0,0/0,X,GUILHERME SILVA,0,0/0,0/0,J,CARLOS RAMOS,0,0/0,0/0,X,RUI MENDES,0,0/0,0/0,X,RAFAEL MOREIRA,0,0/0,0/0,J,NUNO SANTOS,1,0/0,0/0,J,RÚBEN PEREIRA,0,0/0,0/0,,DIOGO BARATA,0
RIBA D AVE HC 2021,SC TOMAR/IPT 2021,4,0/0,1/2,1,0,13,3,0/1,0/1,2,1,10,2020-12-06 00:00:00,SILVIA COELHO,PEDRO FIGUEIREDO,RUI LEITAO,X,DIOGO FERNANDES,0,J,GUSTAVO PATO,0,0/0,0/0,X,FACUNDO BRIDGE,1,0/0,0/0,X,JOÃO PEDRO,1,0/0,0/0,X,NUNO PEREIRA,1,0/0,0/0,X,ANDRES ZAPATA,0,0/0,0/1,J,DANIEL PINHEIRO,0,0/0,0/0,J,DINIS ABREU,1,0/0,1/1,J,MIGUEL FORTUNATO,0,0/0,0/0,,JOÃO FERREIRA,0,X,FRANCISCO VELUDO,1,,JOÃO LOMBA,0,0/0,0/0,X,IVO SILVA,0,0/0,0/0,X,FILIPE ALMEIDA,1,0/0,0/0,,HERNANI DINIZ,0,0/0,0/0,J,RÚBEN SOUSA,0,0/1,0/0,X,PEDRO MARTINS,0,0/0,0/0,J,ANDERSON SILVA,0,0/0,0/0,X,ALEXANDRE MARQUES,2,0/0,0/1,,ANTÓNIO MARANTE,0
FAMALICENSE AC 2021,HC TURQUEL 2021,4,0/1,0/0,1,0,9,1,0/0,0/0,1,1,8,2020-12-12 00:00:00,PEDRO SILVA,MANUEL FERNANDES,JORGE MACHADO,,MANUEL SILVA,0,X,JUAN GARCIA,0,0/0,0/0,X,GABRIEL SILVA,0,0/0,0/0,X,HUGO COSTA,0,0/1,0/0,,RUI SILVA,1,0/0,0/0,,RAFAEL ALMEIDA,0,0/0,0/0,X,PEDRO MENDES,3,0/0,0/0,J,RENATO CASTANHEIRA,0,0/0,0/0,J,PEDRO SILVA,0,0/0,0/0,X,JOAQUIM PEIXOTO,0,,GONÇALO DUARTE,1,X,TIAGO RAFAEL,0,0/0,0/0,X,ANDRÉ MOREIRA,0,0/0,0/0,X,VASCO LUIS,0,0/0,0/0,X,ANDRÉ PIMENTA,0,0/0,0/0,J,ALFONSO SEVERINO,0,0/0,0/0,J,TIAGO MATEUS,0,0/0,0/0,J,TOMÁS MOREIRA,1,0/0,0/0,J,DANIEL PASSOS,0,0/0,0/0,X,DIOGO ALMEIDA,0
